year,major,전체,취업자,실업자,비경활,employment_rate_pct,unemployment_rate_labor_force_pct,inactive_rate_pct,economic_activity_rate_pct,monthly_income_10k_krw,weekly_hours,firm_300plus_share_pct,firm_1000plus_share_pct,regular_employee_share_pct,temporary_daily_share_pct,private_company_share_pct,public_education_research_share_pct,manufacturing_share_pct,professional_science_tech_share_pct,education_service_share_pct,health_welfare_share_pct,information_communication_share_pct,research_engineering_job_share_pct,business_finance_job_share_pct,health_medical_job_share_pct,education_law_social_public_job_share_pct,arts_design_sports_job_share_pct
2016,공학,124312.0,94931.0,9361.0,20020.0,76.3651135851728,8.975760365128677,16.104639938219965,83.89536006178004,242.8,46.1,29.2,16.0,84.8,12.4,76.8,17.4,31.7,12.0,8.2,0.6,11.7,,,,,
2016,교육,30187.0,22066.0,1288.0,6832.0,73.09769105906516,5.515115183694442,22.632258919402393,77.36442839632954,204.6,40.4,4.9,2.5,79.6,17.6,36.1,58.2,1.6,0.8,62.1,22.1,1.3,,,,,
2016,사회,145425.0,106306.0,12363.0,26754.0,73.10022348289496,10.418053577598194,18.3971119133574,81.60151280728898,219.0,43.9,20.4,10.0,79.9,15.9,69.1,19.6,12.3,6.9,8.8,11.3,5.2,,,,,
2016,예체능,66481.0,50588.0,4241.0,11651.0,76.09392157157684,7.734957777818307,17.52530798273191,82.47318782810126,175.6,40.5,9.0,3.8,60.6,29.599999999999998,79.0,12.0,10.7,8.5,19.1,3.1,9.2,,,,,
2016,의약,51284.0,43588.0,2318.0,5377.0,84.99337025193043,5.049448873785562,10.484751579439981,89.5132984946572,233.1,45.9,37.3,20.2,89.8,9.1,59.7,11.3,4.1,1.8,2.0,79.5,0.3,,,,,
2016,인문,48402.0,33728.0,4286.0,10386.0,69.68307094748151,11.274793497132634,21.457791000371884,78.53807693896945,196.9,41.5,19.2,9.0,71.1,24.3,64.9,21.1,11.0,6.6,18.3,2.6,7.6,,,,,
2016,자연,54455.0,37094.0,4156.0,13203.0,68.11863006151869,10.075151515151514,24.245707464879256,75.75061977779818,204.5,44.1,21.0,11.4,71.5,22.099999999999998,69.2,22.9,16.8,9.4,17.5,4.3,2.5,,,,,
2017,공학,124169.0,93080.0,10249.0,20839.0,74.96234970081099,9.918803046579374,16.782771867374304,83.21642277863235,247.5,45.3,28.3,15.9,83.4,13.700000000000001,75.3,18.8,30.0,11.9,9.2,0.8,11.5,47.5,17.1,1.2,5.5,2.1
2017,교육,31004.0,22251.0,2325.0,6427.0,71.76815894723262,9.46044921875,20.72958327957683,79.26719133015095,213.3,39.8,4.800000000000001,3.2,79.9,17.599999999999998,36.9,55.5,2.0,0.7,62.3,20.5,0.8,1.0,10.3,2.4,77.3,1.4
2017,사회,140520.0,101154.0,13960.0,25405.0,71.98548249359521,12.127108779123304,18.079276971249644,81.92001138627954,233.6,43.0,18.8,8.3,78.8,16.1,67.0,21.2,10.8,7.3,8.8,10.5,5.6,3.7,52.2,2.1,16.2,3.1
2017,예체능,63912.0,47687.0,5191.0,11033.0,74.61353110526974,9.81693710049548,17.262798848416573,82.73563650018775,182.5,39.9,8.4,3.8,61.4,27.1,76.4,11.7,9.6,9.5,18.2,3.3,9.9,3.1,16.4,0.6,13.2,38.3
2017,의약,52552.0,44539.0,2186.0,5825.0,84.75224539503729,4.678437667201711,11.084259400213123,88.91193484548637,248.7,45.8,33.300000000000004,17.6,87.1,11.0,56.9,18.2,3.9,2.0,3.6,76.8,0.5,3.8,5.2,81.1,2.5,0.5
2017,인문,46904.0,31193.0,4554.0,11157.0,66.50392290636194,12.739530589979578,23.786883847859457,76.21311615214054,204.1,40.3,19.8,8.3,73.1,22.900000000000002,66.9,20.400000000000002,12.1,7.5,15.0,3.6,8.8,3.7,48.2,0.8,15.4,9.3
2017,자연,53106.0,35651.0,4431.0,13024.0,67.13177418747411,11.054837582954942,24.524535833992392,75.47546416600761,220.7,43.8,18.7,9.4,73.1,20.400000000000002,66.9,25.299999999999997,16.9,9.9,18.3,3.5,3.6,27.2,25.1,8.5,8.4,2.0
2018,공학,121572.0,93068.0,9731.0,18772.0,76.55381173296483,9.466045389546592,15.441055506202087,84.5581219359721,257.6,43.9,29.2,15.4,86.3,11.200000000000001,74.8,19.2,30.4,11.9,8.4,0.9,12.0,46.9,16.5,1.0,4.5,2.0
2018,교육,30378.0,21724.0,1634.0,7018.0,71.51227862268748,6.99546194023461,23.102245045756796,76.89117124234643,217.8,39.1,4.8,2.3,77.8,18.9,43.8,50.4,1.5,1.1,62.6,20.9,1.0,0.9,12.5,3.5,75.1,2.0
2018,사회,132245.0,94612.0,11345.0,26287.0,71.54296948844947,10.707173664788547,19.877500094521533,80.12174373322243,238.2,41.7,19.9,9.3,80.0,15.1,64.2,21.9,10.0,7.8,8.0,10.9,6.2,4.1,52.1,0.9,15.2,3.1
2018,예체능,61787.0,44041.0,5159.0,12587.0,71.27874795668991,10.485772357723578,20.37159920371599,79.628400796284,195.0,39.3,6.800000000000001,2.7,65.5,23.099999999999998,79.5,12.6,12.0,10.4,18.9,2.0,11.2,5.0,15.6,0.9,10.4,40.4
2018,의약,53947.0,45877.0,2507.0,5561.0,85.04087344986746,5.181464947089947,10.308265519862086,89.6880271377463,264.5,44.3,33.3,20.2,88.3,9.899999999999999,58.6,15.7,4.9,2.2,4.0,75.7,0.5,5.7,6.1,78.6,2.6,0.7
2018,인문,43854.0,29824.0,4351.0,9678.0,68.007479363342,12.731528895391367,22.068682446299086,77.92903725999909,212.5,39.7,20.3,9.5,74.5,21.599999999999998,65.2,20.5,11.5,8.8,16.1,3.7,9.5,4.7,47.4,1.3,14.1,10.0
2018,자연,50549.0,35751.0,4556.0,10240.0,70.72543472670083,11.303247574862928,20.257571860966586,79.73847158202932,228.1,43.1,23.2,12.4,75.9,18.5,63.8,28.0,18.3,11.1,19.3,2.8,2.6,30.8,25.9,6.5,6.1,1.9
2019,공학,122403.0,82840.0,13905.0,25657.0,67.67807978562617,14.372835805467982,20.961087555043587,79.03809547151623,260.6,43.7,30.0,18.6,84.8,12.899999999999999,74.0,20.400000000000002,29.7,14.1,6.5,0.8,13.9,49.3,18.0,1.1,4.5,1.6
2019,교육,30044.0,19294.0,2010.0,8739.0,64.21914525362801,9.43484791588434,29.08733857009719,70.9093329782985,221.8,39.6,4.7,2.1,80.8,17.5,24.3,68.8,1.4,0.9,60.4,22.0,1.8,0.5,10.7,1.3,79.4,2.4
2019,사회,127377.0,82771.0,16105.0,28500.0,64.9811190403291,16.288077996682716,22.374526013330506,77.6246889155813,234.6,41.9,22.700000000000003,12.8,78.5,17.8,61.0,24.1,10.4,8.5,7.1,12.1,5.2,3.4,55.1,1.7,15.4,2.7
2019,예체능,59795.0,39313.0,6452.0,14029.0,65.74629985784765,14.098109909319348,23.461827912032778,76.53649970733339,192.7,37.6,9.4,4.2,63.1,28.1,76.2,12.6,9.8,8.5,16.1,3.1,11.4,3.0,20.5,1.9,9.6,36.2
2019,의약,54858.0,44530.0,3009.0,7318.0,81.17321083524736,6.3295399566671575,13.339895730795872,86.65828138102009,271.8,44.8,37.2,22.1,89.7,9.5,50.9,16.8,3.7,1.6,2.3,80.2,0.5,3.9,4.9,84.2,1.4,0.7
2019,인문,42323.0,24688.0,5202.0,12431.0,58.33234884105569,17.403813984610235,29.371736408099615,70.6235380289677,269.8,39.9,23.7,12.5,71.6,24.7,61.0,25.900000000000002,8.4,6.2,15.2,3.9,9.5,4.1,51.7,0.5,12.4,6.8
2019,자연,50108.0,31029.0,5654.0,13425.0,61.9242436337511,15.41313414933348,26.79212900135707,73.20787099864293,225.2,42.5,19.9,10.5,73.8,21.7,63.1,26.9,19.7,12.5,14.4,3.0,3.4,29.6,26.2,5.9,6.2,2.1
