topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2019,mean_income_or_hours,271.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2019,mean_income_or_hours,192.7
GOMS_025,근로소득,산업별 월평균 근로소득,all,전체,2007,mean_income_or_hours,195.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,"농업,임업 및 어업",2007,mean_income_or_hours,301.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,광업,2007,mean_income_or_hours,273.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,제조업,2007,mean_income_or_hours,220.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전기, 가스, 증기 및 수도사업",2007,mean_income_or_hours,282.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,"하수·폐기물처리, 원료재생 및 환경복원업",2007,mean_income_or_hours,176.7
GOMS_025,근로소득,산업별 월평균 근로소득,all,건설업,2007,mean_income_or_hours,226.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,도매 및 소매업,2007,mean_income_or_hours,202.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,운수업,2007,mean_income_or_hours,238.4
GOMS_025,근로소득,산업별 월평균 근로소득,all,숙박 및 음식점업,2007,mean_income_or_hours,177.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,"출판, 영상, 방송통신 및 정보서비스업",2007,mean_income_or_hours,190.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,금융 및 보험업,2007,mean_income_or_hours,274.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,부동산업 및 임대업,2007,mean_income_or_hours,221.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전문, 과학 및 기술 서비스업",2007,mean_income_or_hours,193.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,사업시설관리 및 사업지원 서비스업,2007,mean_income_or_hours,153.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,"공공행정, 국방 및 사회보장 행정",2007,mean_income_or_hours,206.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,교육 서비스업,2007,mean_income_or_hours,149.7
GOMS_025,근로소득,산업별 월평균 근로소득,all,보건업 및 사회복지 서비스업,2007,mean_income_or_hours,173.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"예술,스포츠 및 여가관련 서비스업",2007,mean_income_or_hours,151.5
GOMS_025,근로소득,산업별 월평균 근로소득,all,"협회 및 단체, 수리 및 기타 개인 서비스",2007,mean_income_or_hours,149.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,2007,mean_income_or_hours,80.0
GOMS_025,근로소득,산업별 월평균 근로소득,all,국제 및 외국기관,2007,mean_income_or_hours,215.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,전체,2008,mean_income_or_hours,188.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,"농업,임업 및 어업",2008,mean_income_or_hours,328.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,광업,2008,mean_income_or_hours,263.9
GOMS_025,근로소득,산업별 월평균 근로소득,all,제조업,2008,mean_income_or_hours,214.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전기, 가스, 증기 및 수도사업",2008,mean_income_or_hours,216.3
GOMS_025,근로소득,산업별 월평균 근로소득,all,"하수·폐기물처리, 원료재생 및 환경복원업",2008,mean_income_or_hours,174.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,건설업,2008,mean_income_or_hours,223.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,도매 및 소매업,2008,mean_income_or_hours,194.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,운수업,2008,mean_income_or_hours,229.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,숙박 및 음식점업,2008,mean_income_or_hours,167.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,"출판, 영상, 방송통신 및 정보서비스업",2008,mean_income_or_hours,182.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,금융 및 보험업,2008,mean_income_or_hours,272.6
GOMS_025,근로소득,산업별 월평균 근로소득,all,부동산업 및 임대업,2008,mean_income_or_hours,218.4
GOMS_025,근로소득,산업별 월평균 근로소득,all,"전문, 과학 및 기술 서비스업",2008,mean_income_or_hours,186.1
GOMS_025,근로소득,산업별 월평균 근로소득,all,사업시설관리 및 사업지원 서비스업,2008,mean_income_or_hours,149.8
GOMS_025,근로소득,산업별 월평균 근로소득,all,"공공행정, 국방 및 사회보장 행정",2008,mean_income_or_hours,178.2
GOMS_025,근로소득,산업별 월평균 근로소득,all,교육 서비스업,2008,mean_income_or_hours,152.8
